[1204326000] LOG ROTATION: MONTHLY
[1204326000] LOG VERSION: 2.0
[1204326000] CURRENT HOST STATE: backup-gbg.int.op5.se;UP;HARD;1;OK - 192.168.1.3 responds to ICMP. Packet 1, rtt 293.515ms
[1204326000] CURRENT HOST STATE: color-printer-sth;UP;HARD;0;OK - 172.27.76.10 responds to ICMP. Packet 1, rtt 0.204ms
[1204326000] CURRENT HOST STATE: demo.op5.com;DOWN;HARD;1;demo.op5.com is DOWN - Host unreachable @ 172.27.76.1: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: devel.int.op5.se;UP;HARD;1;OK - 192.168.1.2 responds to ICMP. Packet 1, rtt 190.430ms
[1204326000] CURRENT HOST STATE: dhcp-gbg.int.op5.se;UP;HARD;1;OK - 192.168.1.12 responds to ICMP. Packet 1, rtt 314.726ms
[1204326000] CURRENT HOST STATE: dhcp-sth.int.op5.se;DOWN;HARD;1;172.27.76.8 is DOWN - Host unreachable @ 172.27.76.15: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: dsl-gbg;UP;HARD;1;OK - 213.88.215.13 responds to ICMP. Packet 1, rtt 14.817ms
[1204326000] CURRENT HOST STATE: env1-sth.int.op5.se;UP;HARD;1;OK - 172.27.76.22 responds to ICMP. Packet 1, rtt 3.042ms
[1204326000] CURRENT HOST STATE: friends.2me.se;DOWN;HARD;1;193.201.96.16 is DOWN - rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: gbg-fw1.int.op5.se;UP;HARD;1;OK - 192.168.1.1 responds to ICMP. Packet 1, rtt 205.934ms
[1204326000] CURRENT HOST STATE: hp-laserjet-gbg;UP;HARD;1;OK - 192.168.1.16 responds to ICMP. Packet 1, rtt 271.995ms
[1204326000] CURRENT HOST STATE: internet;UP;HARD;0;Internet is UP, basun.sunet.se responded
[1204326000] CURRENT HOST STATE: kontakt1.int.op5.se;DOWN;HARD;5;172.27.76.13 is DOWN - Host unreachable @ 172.27.76.15: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: ldap-sth.int.op5.se;DOWN;HARD;5;172.27.76.12 is DOWN - Host unreachable @ 172.27.76.15: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: linux-server1.op5.se;UP;HARD;1;OK - 193.201.96.2 responds to ICMP. Packet 1, rtt 0.257ms
[1204326000] CURRENT HOST STATE: log.int.op5.se;UP;HARD;1;OK - 172.27.76.16 responds to ICMP. Packet 1, rtt 0.113ms
[1204326000] CURRENT HOST STATE: logserver-demo.op5.com;DOWN;HARD;1;logserver-demo.op5.com is DOWN - Host unreachable @ 172.27.76.1: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: logserver-sandbox.op5.com;DOWN;HARD;1;logserver-sandbox.op5.com is DOWN - Host unreachable @ 172.27.76.1: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: mail.op5.se;UP;HARD;1;OK - 193.201.96.20 responds to ICMP. Packet 1, rtt 9.577ms
[1204326000] CURRENT HOST STATE: mon.int.op5.se;UP;HARD;1;OK - 127.0.0.1 responds to ICMP. Packet 1, rtt 0.022ms
[1204326000] CURRENT HOST STATE: rc.op5.se;DOWN;HARD;1;193.201.96.8 is DOWN - rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: repos;DOWN;HARD;1;repos.op5.com is DOWN - Host unreachable @ 172.27.76.1: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: rt.op5.com;UP;HARD;1;OK - 193.201.96.17 responds to ICMP. Packet 1, rtt 0.322ms
[1204326000] CURRENT HOST STATE: sandbox.op5.com;DOWN;HARD;1;sandbox.op5.com is DOWN - Host unreachable @ 172.27.76.1: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: sensatronics-senturion;UP;HARD;1;OK - 192.168.1.74 responds to ICMP. Packet 1, rtt 241.230ms
[1204326000] CURRENT HOST STATE: share-gbg.int.op5.se;UP;HARD;1;OK - 192.168.1.58 responds to ICMP. Packet 1, rtt 267.717ms
[1204326000] CURRENT HOST STATE: share1.int.op5.se;UP;HARD;1;OK - 172.27.76.2 responds to ICMP. Packet 1, rtt 0.108ms
[1204326000] CURRENT HOST STATE: sth-fw1.int.op5.se;UP;HARD;1;OK - 172.27.76.1 responds to ICMP. Packet 1, rtt 0.174ms
[1204326000] CURRENT HOST STATE: sth-web1.op5.se;DOWN;HARD;1;193.201.96.9 is DOWN - Host unreachable @ 172.27.76.1: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: sugar.op5.se;UP;HARD;1;OK - 193.201.96.7 responds to ICMP. Packet 1, rtt 0.308ms
[1204326000] CURRENT HOST STATE: sw-hp-01;UP;HARD;1;OK - 172.27.76.204 responds to ICMP. Packet 1, rtt 1.841ms
[1204326000] CURRENT HOST STATE: switch1-gbg.int.op5.se;UP;HARD;1;OK - 192.168.1.18 responds to ICMP. Packet 1, rtt 251.923ms
[1204326000] CURRENT HOST STATE: switch1-sth.int.op5.se;UP;HARD;1;OK - 172.27.76.9 responds to ICMP. Packet 1, rtt 0.852ms
[1204326000] CURRENT HOST STATE: switch2-gbg.int.op5.se;DOWN;HARD;1;192.168.1.37 is DOWN - Host unreachable @ 172.27.79.1: rta: nan, lost 100%
[1204326000] CURRENT HOST STATE: switch2-sth.int.op5.se;UP;HARD;1;OK - 172.27.76.202 responds to ICMP. Packet 1, rtt 2018.752ms
[1204326000] CURRENT HOST STATE: switch3-sth.int.op5.se;UP;HARD;1;OK - 172.27.76.204 responds to ICMP. Packet 1, rtt 0.471ms
[1204326000] CURRENT HOST STATE: teledemo.op5.se;UP;HARD;1;OK - 193.201.96.5 responds to ICMP. Packet 1, rtt 0.437ms
[1204326000] CURRENT HOST STATE: temp1-gbg.int.op5.se;UP;HARD;1;OK - 192.168.1.5 responds to ICMP. Packet 1, rtt 343.924ms
[1204326000] CURRENT HOST STATE: vmware-gbg.int.op5.se;UP;HARD;1;OK - 192.168.1.33 responds to ICMP. Packet 1, rtt 204.120ms
[1204326000] CURRENT HOST STATE: vmware-sth.int.op5.se;UP;HARD;1;OK - 172.27.76.7 responds to ICMP. Packet 1, rtt 0.131ms
[1204326000] CURRENT HOST STATE: w2k3std.op5.se;UP;HARD;1;OK - 192.168.1.8 responds to ICMP. Packet 1, rtt 246.745ms
[1204326000] CURRENT HOST STATE: wlan-gbg;UP;HARD;1;OK - 192.168.1.6 responds to ICMP. Packet 1, rtt 282.043ms
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Cron process;CRITICAL;HARD;3;NRPE: Command 'proc_crond' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Disk usage /;CRITICAL;HARD;3;NRPE: Command 'root_disk' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Kernel log process;CRITICAL;HARD;3;NRPE: Command 'proc_klogd' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;PING;WARNING;HARD;3;WARNING - 192.168.1.3: rta 299.854ms, lost 0%
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Syslog process;CRITICAL;HARD;3;NRPE: Command 'proc_syslogd' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;System Load;CRITICAL;HARD;3;NRPE: Command 'load' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Total processes;CRITICAL;HARD;3;NRPE: Command 'total_procs' not defined
[1204326000] CURRENT SERVICE STATE: backup-gbg.int.op5.se;Zombie processes;CRITICAL;HARD;3;NRPE: Command 'zombie_procs' not defined
[1204326000] CURRENT SERVICE STATE: color-printer-sth;PING;OK;HARD;1;OK - 172.27.76.10: rta 0.277ms, lost 0%
[1204326000] CURRENT SERVICE STATE: demo.op5.com;HTTP Server;CRITICAL;HARD;1;CRITICAL - Socket timeout after 10 seconds
[1204326000] CURRENT SERVICE STATE: demo.op5.com;HTTPS Server;CRITICAL;HARD;1;CRITICAL - Socket timeout after 10 seconds
[1204326000] CURRENT SERVICE STATE: demo.op5.com;PING;CRITICAL;HARD;1;CRITICAL - demo.op5.com: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;Disk usage /;OK;HARD;1;DISK OK - free space: / 6501 MB (13% inode=89%):
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;HTTP Server;OK;HARD;1;HTTP OK - HTTP/1.1 302 Found - 0.527 second response time
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;PING;OK;HARD;1;OK - 192.168.1.2: rta 377.537ms, lost 0%
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;System Load;OK;HARD;1;OK - load average: 0.00, 0.00, 0.00
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;Total processes;OK;HARD;1;PROCS OK: 49 processes
[1204326000] CURRENT SERVICE STATE: devel.int.op5.se;Zombie processes;OK;HARD;1;PROCS OK: 0 processes with STATE = Z
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Cron process;OK;HARD;1;PROCS OK: 1 process with command name 'crond'
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Disk usage /;OK;HARD;1;DISK OK - free space: / 5716 MB (82% inode=97%):
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Kernel log process;OK;HARD;1;PROCS OK: 1 process with command name 'klogd'
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;PING;WARNING;HARD;3;WARNING - 192.168.1.12: rta 226.619ms, lost 0%
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Syslog process;OK;HARD;1;PROCS OK: 1 process with command name 'syslogd'
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;System Load;OK;HARD;1;OK - load average: 0.00, 0.04, 0.00
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Total processes;OK;HARD;1;PROCS OK: 68 processes
[1204326000] CURRENT SERVICE STATE: dhcp-gbg.int.op5.se;Zombie processes;OK;HARD;1;PROCS OK: 0 processes with STATE = Z
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Cron process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Disk usage /;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Kernel log process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;PING;CRITICAL;HARD;1;CRITICAL - 172.27.76.8: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Syslog process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;System Load;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Total processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dhcp-sth.int.op5.se;Zombie processes;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: dsl-gbg;PING;CRITICAL;HARD;3;CRITICAL - 213.88.215.13: rta nan, lost 100%
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;HTTP Server;OK;HARD;1;HTTP OK HTTP/1.0 200 OK - 2112 bytes in 0.265 seconds
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;Humidity - behind rack;OK;HARD;1;check_em1: OK (h=12.4 %)
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;PING;OK;HARD;1;OK - 172.27.76.22: rta 12.762ms, lost 0%
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;Temperature - behind rack;OK;HARD;1;check_em1: OK (t=27.9 C)
[1204326000] CURRENT SERVICE STATE: env1-sth.int.op5.se;Temperature - ceiling;OK;HARD;1;check_em1: OK (t=26.4 C)
[1204326000] CURRENT SERVICE STATE: friends.2me.se;Cron process;CRITICAL;HARD;1;Connection refused or timed out
[1204326000] CURRENT SERVICE STATE: friends.2me.se;Disk usage /;CRITICAL;HARD;1;CHECK_NRPE: Socket timeout after 10 seconds.
[1204326000] CURRENT SERVICE STATE: friends.2me.se;FTP;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: friends.2me.se;HTTP Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: friends.2me.se;HTTPS Server;CRITICAL;HARD;1;No route to host
[1204326000] CURRENT SERVICE STATE: friends.2me.se;IMAP over SSL;CRITICAL;HARD;1;No route to host
